,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,008:008-048,Rigid,Tax,,22
,Non-inventory Part,008:008-049,"Electrical Box 6"" x 6"" x 4""",Tax,,45
,Non-inventory Part,008:008-050,EMT,Tax,,5
,Non-inventory Part,008:008-051,Battery,Tax,,8
,Non-inventory Part,008:008-052,"Electric Box - Outdoor 8"" x 8"" x 4""",Tax,,65
,Non-inventory Part,008:008-053,Outlet,Tax,,10
,Non-inventory Part,008:008-054,Light Bulb,Tax,,45
,Non-inventory Part,008:008-055,Mercury Vapor Parking Light,Tax,,60
,Non-inventory Part,008:008-056,"12"" X 12"" PULL CAN",Tax,,95
,Non-inventory Part,008:008-057,Security Light Fixture,Tax,,50
,Non-inventory Part,008:008-058,"3"" x 5"" x 7"" Project Box",Tax,,75
,Non-inventory Part,008:008-059,24VHC 20VA Transformer,Tax,,20
,Non-inventory Part,008:008-060,Bridge Rectifier,Tax,,15
,Non-inventory Part,9,STEEL,Tax,,0
,Non-inventory Part,009:009-000,"5/8"" x 5/8"" Pickets",Tax,,2
,Non-inventory Part,009:009-001,"1/2"" x 1/2"" tubing",Tax,,3
,Non-inventory Part,009:009-002,"3/4"" x 3/4"" Tubing",Tax,,5
,Non-inventory Part,009:009-003,"1"" x 1"" Tubing",Tax,,2.5
,Non-inventory Part,009:009-004,"1-1/2"" x 1-1/2"" Tubing",Tax,,10
,Non-inventory Part,009:009-005,"2"" x 2"" Tubing",Tax,,12.99
,Non-inventory Part,009:009-006,"2"" X 1"" Tubing",Tax,,4
,Non-inventory Part,009:009-007,"3"" x 3"" Tubing",Tax,,90
,Non-inventory Part,009:009-008,"4"" Square Post",Tax,,55
,Non-inventory Part,009:009-009,Expanded Metal 1/2 x 16 ga,Tax,,250
,Non-inventory Part,009:009-010,Sheet Metal.,Tax,,50
,Non-inventory Part,009:009-011,"1/2"" x 1/8"" Flat strap",Tax,,0.5
,Non-inventory Part,009:009-012,"1/8"" x 1"" Flat Strap",Tax,,2
,Non-inventory Part,009:009-013,"2"" X 1/8"" Flat strap",Tax,,4
,Non-inventory Part,009:009-014,"4"" x 1/8"" Flat",Tax,,7
,Non-inventory Part,009:009-015,"2"" X 1/4"" Flat Bar",Tax,,2.1
,Non-inventory Part,009:009-016,"1"" x 1"" x 1/8"" Angle",Tax,,5
,Non-inventory Part,009:009-017,"2"" x 2"" x 1/8"" Angle Iron",Tax,,10
,Non-inventory Part,009:009-018,Lag Screw,Tax,,3
,Non-inventory Part,009:009-019,"3/8"" concrete anchor",Tax,,5
,Non-inventory Part,009:009-020,"1/2"" Red Heads",Tax,,6
